State,Internal Call Notes,Landfill Name,Type,Accept LQG?,PV OK?,Restrictions,Owner/Operator,Contant Phone,Contact 2,Location,Website,Cost (as of July 2024),Per,Unit,Per Panel,Used in Calc?,Notes,
AZ,,Ajo Municipal Solid Waste Landfill,,,,,,,,,,,,,,,,
AZ,,Apache Junction Landfill,Private Landfill,,Yes,None,Waste Connections,(602) 237-2078,,"4050 S Tomahawk Rd, Apache Junction, AZ 85119",https://www.wasteconnections.com/apache-junction-transfer-station/,65,2000,lbs,2.275,1,,
AZ,,Arizona Strip Landfill,Muni Landfill,,Yes,No hazardous waste; No liquids,Colorado City,(435) 467-8175,,"25 S Central Street PO Box 70, Colorado City, AZ 86021",https://tocc.us/landfill/,31,2000,lbs,1.085,1,,
AZ,,Buckhead Mesa Landfill,,,,,,,,,,,,,,,,
AZ,,Butterfield Station Facility,Private Landfill,,?,"They may need to be ""scrapped or cancelled in a certain way b/c there are metals in them"" CALL Lisa Gomez 720-977-2101",Waste Management,(602) 606-1008,,"40404 S. 99th Avenue, Mobile, AZ 85139",https://www.wmsolutions.com/locations/details/id/207,,,,,0,,
AZ,,Cactus Landfill,,,,,,,,,,,,,,,,
AZ,,Casa Grande Landfill,,,,,,,,,,,,,,,,
AZ,,Cerbat Landfill,Private Landfill,,No,,GAMBI360,(928) 565-2777,,"7300 Mineral Park Rd, Golden Valley, AZ 86413",https://gambi360.com/,,,,,0,,
AZ,,Cinder Lake Landfill,Muni Landfill,,,,,,,,,,,,,,,
AZ,,City of Chandler Landfill,Muni Landfill,,Yes,Residents Only,City of Chandler,(480) 782-3510,,,https://www.chandleraz.gov/residents/recycling-and-trash/recycling-solid-waste-collection-center,0,Visit,,,0,Free for City residents; Limited to four visits a year,
AZ,,City of Eloy Landfill,,,,,,,,,,,,,,,,
AZ,,City of Glendale Municipal Solid Waste Landfill,,,,,,,,,,,,,,,,
AZ,,Cochise County Western Regional Landfill,,,,,,,,,,,,,,,,
AZ,,Copper Mountain Landfill,Private Landfill,,Yes,,Republic Services,928-785-3797,,"34853 E County 12th St. Wellton, AZ 85356",None ,,,,,0,,
AZ,,Dudleyville Muncipal Solid Waste Landfill,,,,,,,,,,,,,,,,
AZ,,Graham County Regional Landfill,,,,,,,,,,,,,,,,
AZ,,Gray Wolf Regional Landfill,Private Landfill,,,,Waste Management,928-634-2002,,,,,,,,,,
AZ,,Huaca City,,,,,,,,,,,,,,,,
AZ,,Ironwood Municipal Solid Waste Landfill,,,,,,,,,,,,,,,,
AZ,,La Paz County Regional Landfill,Private Landfill,,Yes,,Republic Services,928-855-9441,Special waste: 928-505-7414,"33040 N 97th St Paker, AZ 85344",https://www.lapaz.gov/468/Landfill-Transfer-Stations,,,,,0,,
AZ,,Lake Havasu City Landfill,Private Landfill,,Yes,No paint; No hazardous waste; No liquids,Republic Services, ,,"2011 College Dr. Lake Havasu City, AZ 86403",https://www.lhcaz.gov/water-sewer-trash/trash-recycling,48,2000,lbs,1.68,1,,
AZ,,Loma Linda Landfill,,,,,,,,,,,,,,,,
AZ,,Los Reales Landfill,,,,,,,,,,,,,,,,
AZ,,Marana Regional Landfill,,,,,,,,,,,,,,,,
AZ,,Mohave Valley Landfill,Private Landfill,,No,,Republic Services,(928) 727-4436,,"3999 E El Rodeo Rd, Fort Mohave, AZ 86426",,,,,,0,,
AZ,Skipped; probably not open to public?,Northwest Regional Landfill,,,,,,,,,,,,,,,,
AZ,,Painted Desert Regional,,,,,,,,,,,,,,,,
AZ,,Red Rock Landfill,Private Landfill,,Yes,None,Waste Connections,(480) 983-9101,,"22316 S. Harmon Rd, Florence, AZ 85132",https://www.wasteconnections.com/red-rock-landfill/,60,2000,lbs,2.1,1,,
AZ,,Rio Rico Sanitary Landfill,,,,,,,,,,,,,,,,
AZ,,Russell Gulch Landfill,,,,,,,,,,,,,,,,
AZ,,Sahuarita Landfill,,,,,,,,,,,,,,,,
AZ,,"Sierra Estrella Landfill, Inc.",,,,,,,,,,,,,,,,
AZ,,Sonoita-Elgin Landfill,,,,,,,,,,,,,,,,
AZ,,South Yuma County Landfill,Private Landfill,,No,No hazardous waste,CR&R Inc,928-341-9300,Special Waste: 619-520-4429; Regional Manager: 928-920-6326; ,"19536 South Ave 1E, Yuma, AZ 85365",http://www.southyumacountylandfill.com/aboutus.php,,,,,0,,
AZ,,Southwest Regional Municipal Solid Waste LF,,,,,,,,,,,,,,,,
